company,type,address,gu,dong
쁘띠,폐수배출업소관리,서울특별시 종로구 묘동 99-1번지 외 1필지(102-1) ,종로구,묘동
평화당인쇄(주),폐수배출업소관리,서울특별시 종로구 견지동 60번지 ,종로구,견지동
(재)한국의학연구소한국중부의원,폐수배출업소관리,서울특별시 종로구 당주동 100번지 세종빌딩 1층(107~109호) ,종로구,당주동
골드스미스,폐수배출업소관리,서울특별시 종로구 봉익동 9-8번지 ,종로구,봉익동
Bevince(베빈스),폐수배출업소관리,서울특별시 종로구 돈의동 123번지 ,종로구,돈의동
의료법인하나로의료재단하나로의원,폐수배출업소관리,서울특별시 종로구 인사동 194-4번지 ,종로구,인사동
팔구사,폐수배출업소관리,서울특별시 종로구 권농동 186번지 ,종로구,권농동
유진염색,폐수배출업소관리,서울특별시 종로구 종로5가 248-2번지 ,종로구,종로5가
알파색채 주식회사,폐수배출업소관리,서울특별시 종로구 평창동 283-1번지 ,종로구,평창동
OK카서비스,폐수배출업소관리,서울특별시 종로구 평창동 66-32번지 ,종로구,평창동
반도염색,폐수배출업소관리,서울특별시 종로구 종로6가 97번지 ,종로구,종로6가
유진염색,폐수배출업소관리,서울특별시 종로구 종로5가 248-2번지 ,종로구,종로5가
아트섬유,폐수배출업소관리,서울특별시 종로구 종로5가 459번지 1층 ,종로구,종로5가
다래기획,폐수배출업소관리,서울특별시 종로구 돈의동 154번지 ,종로구,돈의동
수암크리스탈,폐수배출업소관리,서울특별시 종로구 관수동 134-7번지 ,종로구,관수동
제일염색,폐수배출업소관리,서울특별시 종로구 종로5가 225-25번지 1층 ,종로구,종로5가
정원염색,폐수배출업소관리,서울특별시 종로구 종로6가 32-5번지 1층 ,종로구,종로6가
종오섬유,폐수배출업소관리,서울특별시 종로구 충신동 206-12번지 ,종로구,충신동
제일염색,폐수배출업소관리,서울특별시 종로구 종로5가 225-25번지 1층 ,종로구,종로5가
월드염색,폐수배출업소관리,서울특별시 종로구 종로6가 239-29번지 ,종로구,종로6가
푸른염색,폐수배출업소관리,서울특별시 종로구 종로6가 194-5번지 ,종로구,종로6가
종로염색,폐수배출업소관리,서울특별시 종로구 효제동 197-1번지 ,종로구,효제동
진흥염색,폐수배출업소관리,서울특별시 종로구 종로5가 465번지 ,종로구,종로5가
정원염색,폐수배출업소관리,서울특별시 종로구 종로6가 32-5번지 1층 ,종로구,종로6가
반도염색,폐수배출업소관리,서울특별시 종로구 종로6가 97번지 ,종로구,종로6가
서울적십자 병원,폐수배출업소관리,서울특별시 종로구 평동 164번지 ,종로구,평동
강북삼성병원,폐수배출업소관리,서울특별시 종로구 평동 108-1번지 ,종로구,평동
선경섬유,폐수배출업소관리,서울특별시 종로구 종로5가 460-2번지 ,종로구,종로5가
삼원염색,폐수배출업소관리,서울특별시 종로구 종로5가 484번지 ,종로구,종로5가
세란병원 종합검진센터,폐수배출업소관리,서울특별시 종로구 무악동 66-3번지 ,종로구,무악동
동원상사,폐수배출업소관리,서울특별시 종로구 효제동 204번지 ,종로구,효제동
종로염색,폐수배출업소관리,서울특별시 종로구 효제동 197-1번지 ,종로구,효제동
유진염색,폐수배출업소관리,서울특별시 종로구 종로5가 248-2번지 ,종로구,종로5가
미주염색,폐수배출업소관리,서울특별시 종로구 종로6가 98-2번지 ,종로구,종로6가
반도염색,폐수배출업소관리,서울특별시 종로구 종로6가 97번지 ,종로구,종로6가
효제사,폐수배출업소관리,서울특별시 종로구 종로6가 238-32번지 ,종로구,종로6가
월드염색,폐수배출업소관리,서울특별시 종로구 종로6가 239-29번지 ,종로구,종로6가
정원염색,폐수배출업소관리,서울특별시 종로구 종로6가 32-5번지 1층 ,종로구,종로6가
(주)두양,폐수배출업소관리,서울특별시 종로구 종로6가 240-3번지 ,종로구,종로6가
제일염색,폐수배출업소관리,서울특별시 종로구 종로5가 225-25번지 1층 ,종로구,종로5가
종암염색,폐수배출업소관리,서울특별시 종로구 종로5가 471번지 ,종로구,종로5가
신아염색,폐수배출업소관리,서울특별시 종로구 종로6가 34번지 ,종로구,종로6가
세종종합상사,폐수배출업소관리,서울특별시 종로구 돈의동 154번지 ,종로구,돈의동
매일기획,폐수배출업소관리,서울특별시 종로구 와룡동 172-2번지 4층 ,종로구,와룡동
중앙염색,폐수배출업소관리,서울특별시 종로구 종로5가 447번지 ,종로구,종로5가
인디안염색사,폐수배출업소관리,서울특별시 종로구 종로5가 446번지 ,종로구,종로5가
비젼애드커뮤니케이션,폐수배출업소관리,서울특별시 종로구 창신동 330-30번지 1층 ,종로구,창신동
원일문화사,폐수배출업소관리,서울특별시 종로구 창신동 329-8번지 ,종로구,창신동
백양염색,폐수배출업소관리,서울특별시 종로구 창신동 421-1번지 ,종로구,창신동
보람,폐수배출업소관리,서울특별시 종로구 묘동 78번지 ,종로구,묘동
원도금,폐수배출업소관리,서울특별시 종로구 연지동 59번지 3층 ,종로구,연지동
태성도금,폐수배출업소관리,서울특별시 종로구 권농동 188-2번지 ,종로구,권농동
협동염색,폐수배출업소관리,서울특별시 종로구 종로5가 473번지 ,종로구,종로5가
진흥염색,폐수배출업소관리,서울특별시 종로구 종로5가 465번지 ,종로구,종로5가
유진염색,폐수배출업소관리,서울특별시 종로구 종로5가 248-2번지 ,종로구,종로5가
진영염색,폐수배출업소관리,서울특별시 종로구 종로6가 33-9번지 ,종로구,종로6가
서울대학교병원첨단치료개발센터,폐수배출업소관리,서울특별시 종로구 연건동 28번지 ,종로구,연건동
서울대학교 암연구소,폐수배출업소관리,서울특별시 종로구 연건동 28번지 ,종로구,연건동
진흥염색,폐수배출업소관리,서울특별시 종로구 종로5가 465번지 ,종로구,종로5가
인디안염색사,폐수배출업소관리,서울특별시 종로구 종로5가 446번지 ,종로구,종로5가
협동염색,폐수배출업소관리,서울특별시 종로구 종로5가 473번지 ,종로구,종로5가
삼성세차장,폐수배출업소관리,서울특별시 종로구 효자동 60-1번지 ,종로구,효자동
제이에스쥬얼리,폐수배출업소관리,서울특별시 종로구 연지동 105번지 ,종로구,연지동
와이스미스,폐수배출업소관리,서울특별시 종로구 인의동 50-2번지 ,종로구,인의동
케이와이쥬얼리,폐수배출업소관리,서울특별시 종로구 연지동 125번지 ,종로구,연지동
제일사,폐수배출업소관리,서울특별시 종로구 연지동 184번지 ,종로구,연지동
태평양염색,폐수배출업소관리,서울특별시 종로구 종로5가 444-3번지 1층 ,종로구,종로5가
종로염색,폐수배출업소관리,서울특별시 종로구 효제동 197-1번지 ,종로구,효제동
J.R공방,폐수배출업소관리,서울특별시 종로구 인의동 48-8번지 ,종로구,인의동
지온 공방,폐수배출업소관리,서울특별시 종로구 인의동 19번지 ,종로구,인의동
민쥬얼리,폐수배출업소관리,서울특별시 성북구 길음동 1281번지 ,성북구,길음동
대성섬유,폐수배출업소관리,서울특별시 종로구 충신동 207-13번지 ,종로구,충신동
반도염색,폐수배출업소관리,서울특별시 종로구 종로6가 97번지 ,종로구,종로6가
한국섬유,폐수배출업소관리,서울특별시 종로구 종로5가 460-1번지 ,종로구,종로5가
세검정셀프세차타운,폐수배출업소관리,서울특별시 종로구 부암동 185-1번지 ,종로구,부암동
월드염색,폐수배출업소관리,서울특별시 종로구 종로6가 239-29번지 ,종로구,종로6가
삼성세차장,폐수배출업소관리,서울특별시 종로구 효자동 60-1번지 ,종로구,효자동
미주염색,폐수배출업소관리,서울특별시 종로구 종로6가 98-2번지 ,종로구,종로6가
미보,폐수배출업소관리,서울특별시 종로구 묘동 70-1번지 ,종로구,묘동
(주)한국금거래소쓰리엠,폐수배출업소관리,서울특별시 종로구 묘동 188-1번지 ,종로구,묘동
와이에이치이골드,폐수배출업소관리,서울특별시 종로구 묘동 35-1번지 ,종로구,묘동
대주페트로(주)종로지점 안풍주유소,폐수배출업소관리,서울특별시 종로구 홍지동 126-1번지 ,종로구,홍지동
한국섬유,폐수배출업소관리,서울특별시 종로구 종로5가 460-1번지 ,종로구,종로5가
종암염색,폐수배출업소관리,서울특별시 종로구 종로5가 471번지 ,종로구,종로5가
성신염색,폐수배출업소관리,서울특별시 종로구 종로5가 456-2번지 1층 ,종로구,종로5가
골드존,폐수배출업소관리,서울특별시 종로구 돈의동 50번지 ,종로구,돈의동
새하얀,폐수배출업소관리,서울특별시 종로구 봉익동 11-14번지 ,종로구,봉익동
예닮주얼리,폐수배출업소관리,서울특별시 종로구 와룡동 50-2번지 ,종로구,와룡동
골드마인,폐수배출업소관리,서울특별시 종로구 묘동 1번지 ,종로구,묘동
코크쥬얼리,폐수배출업소관리,서울특별시 종로구 권농동 187-20번지 ,종로구,권농동
지엔에스,폐수배출업소관리,서울특별시 종로구 돈의동 50번지 ,종로구,돈의동
진영염색,폐수배출업소관리,서울특별시 종로구 종로6가 33-9번지 ,종로구,종로6가
정원염색,폐수배출업소관리,서울특별시 종로구 종로6가 32-5번지 1층 ,종로구,종로6가
(주)신풍지퍼,폐수배출업소관리,서울특별시 종로구 충신동 69-2번지 ,종로구,충신동
자하문주유소,폐수배출업소관리,서울특별시 종로구 부암동 155-3번지 ,종로구,부암동
원도금,폐수배출업소관리,서울특별시 종로구 연지동 59번지 3층 ,종로구,연지동
보람,폐수배출업소관리,서울특별시 종로구 묘동 78번지 ,종로구,묘동
혜화카프라자,폐수배출업소관리,서울특별시 종로구 명륜1가 32-2번지 ,종로구,명륜1가
원도금,폐수배출업소관리,서울특별시 종로구 연지동 59번지 3층 ,종로구,연지동
태평양염색,폐수배출업소관리,서울특별시 종로구 종로5가 444-3번지 1층 ,종로구,종로5가
태성도금,폐수배출업소관리,서울특별시 종로구 권농동 188-2번지 ,종로구,권농동
