company,type,address,gu,dong,,,,,,,
에이드씨티피,폐수배출업소관리,서울특별시 중구 인현동2가 169-1번지 ,중구,인현동2가,,,,,,,
대우문화인쇄,폐수배출업소관리,서울특별시 중구 인현동2가 135-32번지 ,중구,인현동2가,,,,,,,
덕영인쇄,폐수배출업소관리,서울특별시 중구 오장동 206-10번지 ,중구,오장동,,,,,,,
성신프로세스,폐수배출업소관리,서울특별시 중구 오장동 148-33번지 ,중구,오장동,,,,,,,
(주)다인애드피아,폐수배출업소관리,서울특별시 중구 오장동 90-12번지 3층 ,중구,오장동,,,,,,,
성신문화사,폐수배출업소관리,서울특별시 중구 인현동2가 206번지 ,중구,인현동2가,,,,,,,
천일,폐수배출업소관리,서울특별시 중구 인현동2가 181-22번지 ,중구,인현동2가,,,,,,,
원프로세스,폐수배출업소관리,서울특별시 중구 인현동1가 106-1번지 3층 ,중구,인현동1가,,,,,,,
(주)아성종합인쇄,폐수배출업소관리,서울특별시 중구 인현동1가 109-3번지 2층 ,중구,인현동1가,,,,,,,
삼성대일인쇄,폐수배출업소관리,서울특별시 중구 인현동1가 109-6번지 ,중구,인현동1가,,,,,,,
네오그래픽스,폐수배출업소관리,서울특별시 중구 오장동 90-20번지 2층 ,중구,오장동,,,,,,,
배원문화사,폐수배출업소관리,서울특별시 중구 오장동 90-1번지 13 ,중구,오장동,,,,,,,
휴먼컴텍(주),폐수배출업소관리,서울특별시 중구 인현동2가 192-30번지 신성상가 지하3호 ,중구,인현동2가,,,,,,지하3호,
(주)서울인쇄센타,폐수배출업소관리,서울특별시 중구 쌍림동 146-1번지 2층 ,중구,쌍림동,,,,,,,
태강,폐수배출업소관리,서울특별시 중구 저동2가 84-11번지 3층 ,중구,저동2가,,,,,,,
안문화사,폐수배출업소관리,서울특별시 중구 광희동1가 8-1번지 ,중구,광희동1가,,,,,,,
시.디.피,폐수배출업소관리,서울특별시 중구 오장동 206-40번지 ,중구,오장동,,,,,,,
유니아,폐수배출업소관리,서울특별시 중구 인현동2가 135-4번지 2층 ,중구,인현동2가,,,,,,,
대광그래픽스,폐수배출업소관리,서울특별시 중구 초동 21-12번지 ,중구,초동,,,,,,,
탑프린팅,폐수배출업소관리,서울특별시 중구 을지로3가 296-15번지 ,중구,을지로3가,,,,,,,
성광문화인쇄사,폐수배출업소관리,서울특별시 중구 을지로3가 302-1번지 ,중구,을지로3가,,,,,,,
(주)다보아이앤씨,폐수배출업소관리,서울특별시 중구 을지로3가 295-4번지 ,중구,을지로3가,,,,,,,
대동전산,폐수배출업소관리,서울특별시 중구 을지로3가 291-42번지 ,중구,을지로3가,,,,,,,
삼원씨티피,폐수배출업소관리,서울특별시 중구 저동2가 8번지 2층 ,중구,저동2가,,,,,,,
한국인쇄,폐수배출업소관리,서울특별시 중구 을지로3가 322-7번지 ,중구,을지로3가,,,,,,,
오픈프로세스,폐수배출업소관리,서울특별시 중구 을지로3가 334-7번지 한일빌딩2층 ,중구,을지로3가,,,,,,,
동선기업,폐수배출업소관리,서울특별시 중구 산림동 58-1번지 ,중구,산림동,,,,,,,
광일금속,폐수배출업소관리,서울특별시 중구 산림동 31-1번지 ,중구,산림동,,,,,,,
경양사,폐수배출업소관리,서울특별시 중구 산림동 46번지 ,중구,산림동,,,,,,,
삼호명판,폐수배출업소관리,서울특별시 중구 산림동 108-1번지 ,중구,산림동,,,,,,,
태광기업,폐수배출업소관리,서울특별시 중구 산림동 133번지 ,중구,산림동,,,,,,,
신화명판산업,폐수배출업소관리,서울특별시 중구 산림동 42-2번지 ,중구,산림동,,,,,,,
대지문화사,폐수배출업소관리,서울특별시 중구 을지로4가 57-3번지 ,중구,을지로4가,,,,,,,
윤금공예,폐수배출업소관리,서울특별시 중구 주교동 176-8번지 ,중구,주교동,,,,,,,
덕유문화미술사,폐수배출업소관리,서울특별시 중구 예관동 24-5번지 ,중구,예관동,,,,,,,
국일특수인쇄(주),폐수배출업소관리,서울특별시 중구 예관동 70-8번지 4층 ,중구,예관동,,,,,,,
파인애드,폐수배출업소관리,서울특별시 중구 광희동1가 63-9번지 ,중구,광희동1가,,,,,,,
한영인쇄사,폐수배출업소관리,서울특별시 중구 을지로4가 297-1번지 (2층) ,중구,을지로4가,,,,,,,
창조문화인쇄,폐수배출업소관리,서울특별시 중구 인현동1가 70-3번지 ,중구,인현동1가,,,,,,,
굿모닝출력,폐수배출업소관리,서울특별시 중구 인현동1가 68번지 3층 ,중구,인현동1가,,,,,,,
반월인쇄문화,폐수배출업소관리,서울특별시 중구 인현동1가 31-2번지 (1층) ,중구,인현동1가,,,,,,,
선명금속인쇄사,폐수배출업소관리,서울특별시 중구 주교동 315-1번지 ,중구,주교동,,,,,,,
(주)성신피앤디,폐수배출업소관리,서울특별시 중구 오장동 11-2번지 ,중구,오장동,,,,,,,
상록기획인쇄,폐수배출업소관리,서울특별시 중구 방산동 142-1번지 ,중구,방산동,,,,,,,
동명사,폐수배출업소관리,서울특별시 중구 주교동 267번지 ,중구,주교동,,,,,,,
문화소부,폐수배출업소관리,서울특별시 중구 주교동 273-2번지 3층 ,중구,주교동,,,,,,,
아현문화,폐수배출업소관리,서울특별시 중구 주교동 110번지 ,중구,주교동,,,,,,,
태성명판,폐수배출업소관리,서울특별시 중구 주교동 210-4번지 ,중구,주교동,,,,,,,
종합기획,폐수배출업소관리,서울특별시 중구 주교동 222-2번지 ,중구,주교동,,,,,,,
동우부식,폐수배출업소관리,서울특별시 중구 주교동 210-3번지 ,중구,주교동,,,,,,,
드림기획,폐수배출업소관리,서울특별시 중구 을지로4가 109-1번지 ,중구,을지로4가,,,,,,,
대성기업,폐수배출업소관리,서울특별시 중구 주교동 242번지 ,중구,주교동,,,,,,,
혜성산업,폐수배출업소관리,서울특별시 중구 주교동 253번지 ,중구,주교동,,,,,,,
청해문화,폐수배출업소관리,서울특별시 중구 을지로4가 169-2번지 (2층) ,중구,을지로4가,,,,,,,
삼우인쇄사,폐수배출업소관리,서울특별시 중구 을지로3가 267번지 (2층) ,중구,을지로3가,,,,,,,
전진원색,폐수배출업소관리,서울특별시 중구 을지로3가 282-4번지 ,중구,을지로3가,,,,,,,
공익사,폐수배출업소관리,서울특별시 중구 을지로3가 286번지 새마을빌딩2층 ,중구,을지로3가,,,,,,,
에이스종합인쇄,폐수배출업소관리,서울특별시 중구 을지로3가 286번지 ,중구,을지로3가,,,,,,,
명인기획,폐수배출업소관리,서울특별시 중구 초동 10-6번지 (2층) ,중구,초동,,,,,,,
현프린테크,폐수배출업소관리,서울특별시 중구 인현동1가 59-10번지 ,중구,인현동1가,,,,,,,
현프린텍,폐수배출업소관리,서울특별시 중구 인현동1가 100-4번지 조광빌딩 305호 ,중구,인현동1가,,,,,,305호,
(주)칠광사,폐수배출업소관리,서울특별시 중구 오장동 101-18번지 ,중구,오장동,,,,,,,
예닮베스트프린팅,폐수배출업소관리,서울특별시 중구 예관동 70-3번지 401호,중구,예관동,,,,,,,
또모기획,폐수배출업소관리,서울특별시 중구 충무로5가 2-22번지 2층 ,중구,충무로5가,,,,,,,
아이디,폐수배출업소관리,서울특별시 중구 충무로5가 36-10번지 ,중구,충무로5가,,,,,,,
(주)동양프린팅,폐수배출업소관리,서울특별시 중구 오장동 101-7번지 흥남빌딩 34층 ,중구,오장동,,,,,,34층,
우창교정,폐수배출업소관리,서울특별시 중구 충무로4가 131-6번지 ,중구,충무로4가,,,,,,,
블루,폐수배출업소관리,서울특별시 중구 초동 157-2번지 (3층) ,중구,초동,,,,,,,
영진문화사,폐수배출업소관리,서울특별시 중구 인현동1가 132-1번지 ,중구,인현동1가,,,,,,,
(주)장안인쇄,폐수배출업소관리,서울특별시 중구 을지로4가 300-2번지 1층 ,중구,을지로4가,,,,,,,
(주)문화일보,폐수배출업소관리,서울특별시 중구 충정로1가 68번지 ,중구,충정로1가,,,,,,,
